# lists which metier to distribute catches on based on logbooks. these are specific to ICES areas
# list for WKNSSK
metier	REDSKAP_FAO	MASKEVIDDE	ICESarea	ICESareatype
GNS_DEF_all_0_0_all	GEN	1	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	63	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	66	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	74	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	94	27.4.a	Div
GNS_DEF_all_0_0_all	GN	74	27.4.a	Div
GNS_DEF_all_0_0_all	GN	75	27.4.a	Div
GNS_DEF_all_0_0_all	GN	150	27.4.a	Div
GNS_DEF_all_0_0_all	GN	180	27.4.a	Div
GNS_DEF_all_0_0_all	GN	90	27.4.a	Div
GNS_DEF_all_0_0_all	GN	148	27.4.a	Div
GNS_DEF_all_0_0_all	GNS	76	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	76	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	84	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	85	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	90	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	93	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	126	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	132	27.4.a	Div
GNS_DEF_all_0_0_all	GNS	138	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	140	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	148	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	150	27.4.a	Div
GNS_DEF_all_0_0_all	GNS	162	27.4.a	Div
GNS_DEF_all_0_0_all	GNS	163	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	168	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	169	27.4.a	Div
GNS_DEF_all_0_0_all	GEN	180	27.4.a	Div
GNS_DEF_all_0_0_all	GNS	190	27.4.a	Div
OTB_CRU_16-31_0_0_all	OTB	16	27.4.a	Div
OTB_CRU_16-31_0_0_all	OTB	18	27.4.a	Div
OTB_CRU_16-31_0_0_all	TBS	18	27.4.a	Div
OTB_CRU_16-31_0_0_all	TBS	26	27.4.a	Div
OTB_CRU_16-31_0_0_all	TBS	20	27.4.a	Div
OTB_CRU_16-31_0_0_all	OTB	20	27.4.a	Div
OTB_CRU_16-31_0_0_all	TB	20	27.4.a	Div
OTB_CRU_16-31_0_0_all	OTB	22	27.4.a	Div
OTB_CRU_16-31_0_0_all	TB	24	27.4.a	Div
OTB_CRU_16-31_0_0_all	TBS	30	27.4.a	Div
OTB_CRU_32-69_0_0_all	TB	34	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	35	27.4.a	Div
OTB_CRU_32-69_0_0_all	OTB	35	27.4.a	Div
OTB_CRU_32-69_0_0_all	OTB	36	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	36	27.4.a	Div
OTB_CRU_32-69_0_0_all	TB	38	27.4.a	Div
OTB_CRU_32-69_0_0_all	TB	40	27.4.a	Div
OTB_CRU_32-69_0_0_all	OTB	38	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	38	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	40	27.4.a	Div
OTB_CRU_32-69_0_0_all	OTB	40	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	42	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	46	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	50	27.4.a	Div
OTB_CRU_32-69_0_0_all	TB	50	27.4.a	Div
OTB_CRU_32-69_0_0_all	TBS	60	27.4.a	Div
OTB_CRU_32-69_0_0_all	OTB	60	27.4.a	Div
OTB_DEF_>=120_0_0_all	TB	120	27.4.a	Div
OTB_DEF_>=120_0_0_all	OTB	120	27.4.a	Div
OTB_DEF_>=120_0_0_all	OTB	125	27.4.a	Div
OTB_DEF_>=120_0_0_all	OTT	125	27.4.a	Div
OTB_DEF_>=120_0_0_all	OTB	130	27.4.a	Div
OTB_DEF_>=120_0_0_all	OTB	135	27.4.a	Div
OTB_DEF_>=120_0_0_all	TBS	300	27.4.a	Div
OTB_DEF_>=120_0_0_all	PT	120	27.4.a	Div
OTB_DEF_>=120_0_0_all	PTB	120	27.4.a	Div
OTB_DEF_>=120_0_0_all	PTB	125	27.4.a	Div
LLS_FIF_0_0_0_all	LL	NON	27.4.a	Div
LLS_FIF_0_0_0_all	LLS	NON	27.4.a	Div
SDN_DEF_>=120_0_0_all	SSC	120	27.4.a	Div
SDN_DEF_>=120_0_0_all	SV	120	27.4.a	Div
SDN_DEF_>=120_0_0_all	SV	130	27.4.a	Div
SDN_DEF_>=120_0_0_all	SSC	125	27.4.a	Div
SDN_DEF_>=120_0_0_all	SSC	2180	27.4.a	Div
MIS_MIS_0_0_0_HC	TBS	2	27.4.a	Div
MIS_MIS_0_0_0_HC	TBS	3	27.4.a	Div
MIS_MIS_0_0_0_HC	TBS	4	27.4.a	Div
MIS_MIS_0_0_0_HC	TBS	5	27.4.a	Div
MIS_MIS_0_0_0_HC	TB	5	27.4.a	Div
MIS_MIS_0_0_0_HC	OTB	6	27.4.a	Div
MIS_MIS_0_0_0_HC	TB	8	27.4.a	Div
MIS_MIS_0_0_0_HC	TBS	10	27.4.a	Div
MIS_MIS_0_0_0_HC	TM	5	27.4.a	Div
