#defining stocks by species and area, an indicate wheter coastal areas should be included in stock definition, and whether BMS should be calculated based on usage (anvendelse)
stocckcode	FAOcode	ICESareatype	ICESarea	includecoast	BMShuc
#cod.27.6a	COD	Div	27.6.a	T	F
#cod.27.6b	COD	Div	27.6.b	T	F
#had.27.6b	HAD	Div	27.6.b	T	F
anf.27.3a46	ANF	Div	27.3.a	T	F
anf.27.3a46	ANF	Div	27.4.c	T	F
anf.27.3a46	ANF	Div	27.4.b	T	F
anf.27.3a46	ANF	Div	27.4.a	T	F
anf.27.3a46	ANF	Div	27.4.b	T	F
lez.27.4a6a	LEZ	Div	27.4.a	T	F
lez.27.4a6a	LEZ	Div	27.6.a	T	F
sol.27.20-24	SOL	Div	27.3.a	T	F
